date,home,away,home_score,away_score
12.12. 15:00,Senegal W,Angola W,14,19
12.12. 12:30,D.R. Congo W,Cameroon W,33,22
11.12. 16:00,Tunisia W,Congo W,23,31
11.12. 14:00,Guinea W,Algeria W,34,22
10.12. 18:00,Cameroon W,Angola W,16,25
10.12. 16:00,Senegal W,D.R. Congo W,22,21
10.12. 14:00,Congo W,Algeria W,24,22
10.12. 12:00,Guinea W,Tunisia W,26,30
10.12. 10:00,Ivory Coast W,Morocco W,38,31
09.12. 18:00,Cameroon W,Congo W,22,21
09.12. 15:30,Algeria W,Angola W,17,41
09.12. 13:00,D.R. Congo W,Tunisia W,37,30
09.12. 10:30,Senegal W,Guinea W,23,16
07.12. 18:00,Angola W,Congo W,32,19
07.12. 16:00,Tunisia W,Cameroon W,25,25
07.12. 14:00,Ivory Coast W,Senegal W,22,32
07.12. 12:00,D.R. Congo W,Guinea W,35,18
06.12. 18:00,Ivory Coast W,Tunisia W,28,35
06.12. 16:00,D.R. Congo W,Angola W,24,33
06.12. 14:00,Guinea W,Morocco W,42,22
06.12. 12:00,Senegal W,Algeria W,35,22
04.12. 18:00,Congo W,D.R. Congo W,29,29
04.12. 16:00,Algeria W,Tunisia W,24,24
04.12. 14:00,Morocco W,Angola W,14,50
04.12. 12:00,Cameroon W,Ivory Coast W,34,25
03.12. 18:00,Guinea W,Congo W,20,37
03.12. 16:00,Morocco W,D.R. Congo W,23,35
03.12. 14:00,Cameroon W,Algeria W,32,18
03.12. 12:00,Tunisia W,Senegal W,21,26
02.12. 16:30,Congo W,Morocco W,36,23
02.12. 12:00,Angola W,Guinea W,40,17
02.12. 10:00,Algeria W,Ivory Coast W,27,25
02.12. 08:00,Senegal W,Cameroon W,23,18
