date,home,away,home_score,away_score
04.12. 07:00AET,South Korea W,Japan W,34,29
04.12. 05:00,China W,Iran W,39,24
03.12. 07:00,India W,Kazakhstan W,31,42
03.12. 05:00,Thailand W,Uzbekistan W,39,35
02.12. 10:00,South Korea W,China W,34,16
02.12. 08:00,Japan W,Iran W,43,19
02.12. 06:00,Kazakhstan W,Uzbekistan W,30,28
02.12. 04:00,India W,Thailand W,37,25
02.12. 02:00,Australia W,Hong Kong W,26,28
30.11. 09:00,South Korea W,Iran W,41,11
30.11. 07:00,Japan W,Kazakhstan W,33,21
30.11. 05:00,Australia W,Uzbekistan W,26,36
30.11. 03:00,Thailand W,Hong Kong W,24,20
28.11. 09:00,Uzbekistan W,South Korea W,21,41
28.11. 07:00,Hong Kong W,Japan W,7,42
28.11. 05:00,Thailand W,China W,13,36
28.11. 03:00,Australia W,India W,30,42
27.11. 09:00,Kazakhstan W,Thailand W,30,24
27.11. 07:00,China W,Hong Kong W,36,21
27.11. 05:00,Iran W,Australia W,43,15
27.11. 03:00,India W,Uzbekistan W,28,22
25.11. 09:00,India W,South Korea W,8,38
25.11. 07:00,China W,Japan W,26,29
25.11. 05:00,Uzbekistan W,Iran W,32,35
25.11. 03:00,Hong Kong W,Kazakhstan W,24,28
24.11. 09:00,Australia W,South Korea W,9,48
24.11. 07:00,Thailand W,Japan W,9,44
24.11. 05:00,India W,Iran W,35,43
24.11. 03:00,China W,Kazakhstan W,28,26
