season,division,date,home,away,home_goals,away_goals
2025,6,2025-12-06,Iran,Paraguay,20,33
2025,6,2025-12-06,Croatia,Uruguay,34,25
2025,6,2025-12-05,Czech Republic,Norway,14,37
2025,6,2025-12-05,Switzerland,Denmark,23,36
2025,6,2025-12-05,Japan,Hungary,26,26
2025,6,2025-12-05,Sweden,South Korea,32,27
2025,6,2025-12-05,Angola,Brazil,26,32
2025,6,2025-12-05,Romania,Senegal,37,17
2025,6,2025-12-04,Iceland,Spain,23,30
2025,6,2025-12-04,Netherlands,Tunisia,39,21
2025,6,2025-12-04,Cuba,Kazakhstan,29,28
2025,6,2025-12-04,France,Austria,29,17
2025,6,2025-12-04,Montenegro,Germany,18,36
2025,6,2025-12-04,Egypt,China,32,35
2025,6,2025-12-04,Argentina,Poland,25,28
2025,6,2025-12-04,Serbia,Faroe Islands,31,31
2025,6,2025-12-04,Uruguay,Paraguay,20,23
2025,6,2025-12-04,Croatia,Iran,38,9
2025,6,2025-12-03,Denmark,Senegal,40,26
2025,6,2025-12-03,Norway,Sweden,39,26
2025,6,2025-12-03,Brazil,South Korea,32,25
2025,6,2025-12-03,Hungary,Romania,34,29
2025,6,2025-12-03,Czech Republic,Angola,25,28
2025,6,2025-12-03,Japan,Switzerland,27,21
2025,6,2025-12-02,France,Poland,42,28
2025,6,2025-12-02,Germany,Faroe Islands,36,26
2025,6,2025-12-02,Netherlands,Austria,34,22
2025,6,2025-12-02,Tunisia,China,34,28
2025,6,2025-12-02,Iceland,Montenegro,27,36
2025,6,2025-12-02,Argentina,Egypt,27,14
2025,6,2025-12-02,Spain,Serbia,29,31
2025,6,2025-12-01,Denmark,Romania,39,31
2025,6,2025-12-01,Hungary,Switzerland,32,25
2025,6,2025-12-01,Norway,Angola,31,19
2025,6,2025-12-01,Sweden,Brazil,27,31
2025,6,2025-12-01,Czech Republic,Cuba,44,21
2025,6,2025-12-01,Japan,Croatia,25,19
2025,6,2025-12-01,Senegal,Iran,30,21
2025,6,2025-12-01,South Korea,Kazakhstan,35,17
2025,6,2025-11-30,Egypt,Netherlands,15,37
2025,6,2025-11-30,Austria,Argentina,27,23
2025,6,2025-11-30,China,France,21,47
2025,6,2025-11-30,Germany,Serbia,31,20
2025,6,2025-11-30,Montenegro,Spain,26,31
2025,6,2025-11-30,Faroe Islands,Paraguay,36,25
2025,6,2025-11-30,Iceland,Uruguay,33,19
2025,6,2025-11-30,Poland,Tunisia,29,26
2025,6,2025-11-29,Croatia,Denmark,24,35
2025,6,2025-11-29,Cuba,Sweden,17,46
2025,6,2025-11-29,Iran,Hungary,13,47
2025,6,2025-11-29,Kazakhstan,Norway,16,41
2025,6,2025-11-29,Angola,South Korea,34,23
2025,6,2025-11-29,Brazil,Czech Republic,28,22
2025,6,2025-11-29,Romania,Japan,31,27
2025,6,2025-11-29,Switzerland,Senegal,25,24
2025,6,2025-11-28,France,Tunisia,43,18
2025,6,2025-11-28,Netherlands,Argentina,32,25
2025,6,2025-11-28,Serbia,Iceland,27,26
2025,6,2025-11-28,Spain,Faroe Islands,25,27
2025,6,2025-11-28,Poland,China,36,20
2025,6,2025-11-28,Austria,Egypt,29,20
2025,6,2025-11-28,Paraguay,Montenegro,25,34
2025,6,2025-11-28,Uruguay,Germany,12,38
2025,6,2025-11-27,Denmark,Japan,36,19
2025,6,2025-11-27,Hungary,Senegal,26,17
2025,6,2025-11-27,Norway,South Korea,34,19
2025,6,2025-11-27,Sweden,Czech Republic,31,23
2025,6,2025-11-27,Romania,Croatia,33,24
2025,6,2025-11-27,Angola,Kazakhstan,38,20
2025,6,2025-11-27,Brazil,Cuba,41,20
2025,6,2025-11-27,Switzerland,Iran,34,9
2025,6,2025-11-26,Montenegro,Faroe Islands,32,27
2025,6,2025-11-26,Serbia,Uruguay,31,19
2025,6,2025-11-26,Germany,Iceland,32,25
2025,6,2025-11-26,Spain,Paraguay,26,17
2025,4,2025-11-23,Croatia,Poland,22,27
2025,4,2025-11-23,Romania,Austria,37,28
2025,4,2025-11-23,Czech Republic,Portugal,29,41
