date,home,away,home_score,away_score
20.12. 17:00,France W,Norway W,20,22
20.12. 14:30,Croatia W,Denmark W,25,19
18.12. 19:30,Norway W,Denmark W,27,24
18.12. 17:00,France W,Croatia W,30,19
18.12. 14:30,Russia W,Netherlands W,33,27
15.12. 19:30,Denmark W,Russia W,30,23
15.12. 19:30,Hungary W,Norway W,21,32
15.12. 17:15,Croatia W,Germany W,23,20
15.12. 17:15,France W,Sweden W,31,25
15.12. 15:00,Montenegro W,Spain W,26,26
15.12. 15:00,Netherlands W,Romania W,35,24
14.12. 19:30,Hungary W,Romania W,26,24
14.12. 17:15,Netherlands W,Germany W,28,27
13.12. 19:30,Denmark W,Spain W,34,24
13.12. 17:15,Montenegro W,Sweden W,31,25
12.12. 17:15,Croatia W,Norway W,25,36
12.12. 15:00,Hungary W,Germany W,25,32
11.12. 19:30,Denmark W,Sweden W,24,22
11.12. 17:15,France W,Russia W,28,28
10.12. 19:30,France W,Spain W,26,25
10.12. 19:30,Netherlands W,Norway W,25,32
10.12. 17:15,Croatia W,Romania W,25,20
10.12. 17:15,Montenegro W,Russia W,23,24
08.12. 19:30,France W,Denmark W,23,20
08.12. 19:30,Netherlands W,Hungary W,28,24
08.12. 17:15,Montenegro W,Slovenia W,26,25
08.12. 17:15,Serbia W,Croatia W,24,25
07.12. 19:30,Romania W,Norway W,20,28
07.12. 19:30,Russia W,Sweden W,30,26
07.12. 17:15,Germany W,Poland W,21,21
07.12. 17:15,Spain W,Czech Republic W,27,24
06.12. 19:30,Montenegro W,Denmark W,19,28
06.12. 17:15,Croatia W,Netherlands W,27,25
06.12. 17:15,Slovenia W,France W,17,27
06.12. 15:00,Serbia W,Hungary W,26,38
05.12. 19:30,Netherlands W,Serbia W,25,29
05.12. 19:30,Spain W,Sweden W,23,23
05.12. 17:15,Czech Republic W,Russia W,22,24
05.12. 17:15,Germany W,Norway W,23,42
05.12. 15:00,Poland W,Romania W,24,28
04.12. 19:30,Denmark W,Slovenia W,30,23
04.12. 17:15,France W,Montenegro W,24,23
04.12. 17:15,Hungary W,Croatia W,22,24
03.12. 19:30,Norway W,Poland W,35,22
03.12. 19:30,Sweden W,Czech Republic W,27,23
03.12. 17:15,Russia W,Spain W,31,22
03.12. 17:00,Romania W,Germany W,19,22
29.09. 18:25,Austria W,Spain W,22,28
29.09. 18:00,Kosovo W,Germany W,15,34
29.09. 16:00,Faroe Islands W,Romania W,20,25
29.09. 16:00,Iceland W,France W,17,23
29.09. 15:00,Italy W,Hungary W,10,30
29.09. 15:00,Slovakia W,Serbia W,26,27
29.09. 15:00,Switzerland W,Russia W,26,35
29.09. 15:00,Turkey W,Croatia W,21,30
29.09. 13:30,Greece W,Netherlands W,18,43
29.09. 13:00,Lithuania W,Montenegro W,24,32
29.09. 12:30,Belarus W,Slovenia W,29,31
28.09. 16:00,North Macedonia W,Czech Republic W,29,37
28.09. 16:00,Ukraine W,Poland W,26,27
28.09. 15:30,Portugal W,Sweden W,19,38
26.09. 18:30,Spain W,Greece W,33,18
26.09. 17:30,Netherlands W,Austria W,32,24
26.09. 17:00,Sweden W,North Macedonia W,35,26
26.09. 16:00,Slovenia W,Kosovo W,32,23
25.09. 18:30,Poland W,Faroe Islands W,28,16
25.09. 18:15,Czech Republic W,Portugal W,31,20
25.09. 18:00,France W,Turkey W,38,17
25.09. 17:00,Hungary W,Lithuania W,33,19
25.09. 16:45,Germany W,Belarus W,40,30
25.09. 16:30,Russia W,Slovakia W,34,15
25.09. 16:00,Croatia W,Iceland W,29,8
25.09. 16:00,Montenegro W,Italy W,41,17
25.09. 16:00,Serbia W,Switzerland W,35,23
25.09. 15:30,Romania W,Ukraine W,27,24
02.06. 14:30,Greece W,Luxembourg W,27,14
02.06. 12:00,Israel W,Finland W,26,26
01.06. 15:00,Greece W,Finland W,31,14
01.06. 13:00,Luxembourg W,Israel W,24,33
31.05. 15:30,Israel W,Greece W,21,28
31.05. 13:00,Finland W,Luxembourg W,24,27
