date,home,away,home_score,away_score
23.11. 16:00,Croatia W,Poland W,22,27
23.11. 15:30,Romania W,Austria W,37,28
23.11. 14:00,Czech Republic W,Portugal W,29,41
22.11. 16:00,Poland W,Senegal W,27,27
22.11. 15:30,Romania W,Czech Republic W,37,30
22.11. 15:00,Sweden W,Denmark W,35,36
22.11. 13:30,Germany W,Switzerland W,35,32
21.11. 16:00,Croatia W,Senegal W,27,29
20.11. 19:00,Denmark W,Sweden W,35,23
21.09. 13:00,Czech Republic W,Norway W,15,37
21.09. 11:00,Croatia W,Turkey W,36,29
20.09. 18:00,Croatia W,Norway W,18,31
20.09. 18:00,Slovakia W,Spain W,21,31
20.09. 16:00,Poland W,Serbia W,30,26
20.09. 16:00,Turkey W,Czech Republic W,25,32
20.09. 14:00,Denmark W,Iceland W,39,23
20.09. 14:00,Hungary W,Sweden W,34,32
20.09. 12:00,Egypt W,Tunisia W,24,25
20.09. 12:00,Romania W,France W,24,30
19.09. 18:30,North Macedonia W,Egypt W,18,19
19.09. 18:00,Czech Republic W,Croatia W,26,25
19.09. 16:15,Tunisia W,Greece W,26,26
19.09. 16:00,Norway W,Turkey W,42,10
18.09. 18:30,North Macedonia W,Tunisia W,34,27
18.09. 16:30,Slovakia W,Spain W,25,33
18.09. 16:15,Greece W,Egypt W,25,22
18.09. 15:00,Romania W,France W,27,32
07.07. 17:30,Kosovo U19 W,North Macedonia U19 W,20,30
23.06. 15:30,Croatia U19 W,North Macedonia U19 W,41,20
22.06. 17:30,Croatia U19 W,North Macedonia U19 W,34,26
13.04. 11:00,Russia U19 W,Belarus W,28,27
12.04. 16:00,France W,Netherlands W,31,28
12.04. 11:30,Denmark W,Germany W,26,29
12.04. 10:00,Russia W,Russia U19 W,35,25
11.04. 16:00,Russia W,Belarus W,29,21
10.04. 18:45,France W,Netherlands W,31,25
10.04. 16:30,Hungary W,Brazil W,31,27
09.04. 18:30,Germany W,Denmark W,31,33
08.03. 19:00,Spain W,Austria W,32,25
08.03. 17:00,France W,Germany W,30,29
08.03. 14:50,Sweden W,Romania W,26,25
08.03. 13:15,Hungary W,Ukraine W,35,16
06.03. 19:00,Spain W,Argentina W,28,25
06.03. 18:00,Sweden W,Romania W,36,28
06.03. 17:30,Germany W,France W,25,28
