date,home,away,home_score,away_score
10.08. 13:00,Norway W,France W,29,21
10.08. 08:00,Denmark W,Sweden W,30,25
08.08. 19:30,Norway W,Denmark W,25,21
08.08. 14:30AET,Sweden W,France W,28,31
06.08. 19:30,Norway W,Brazil W,32,15
06.08. 15:30AET,Hungary W,Sweden W,32,36
06.08. 11:30,France W,Germany W,26,23
06.08. 07:30,Denmark W,Netherlands W,29,25
03.08. 19:00,Denmark W,South Korea W,28,20
03.08. 17:00,Norway W,Germany W,30,18
03.08. 14:00,Slovenia W,Sweden W,23,27
03.08. 12:00,Brazil W,Angola W,30,19
03.08. 09:00,Spain W,France W,24,32
03.08. 07:00,Hungary W,Netherlands W,26,30
01.08. 19:00,Slovenia W,Norway W,22,29
01.08. 17:00,Germany W,Denmark W,27,28
01.08. 14:00,Angola W,France W,24,38
01.08. 12:00,Spain W,Hungary W,24,27
01.08. 09:00,South Korea W,Sweden W,21,27
01.08. 07:00,Netherlands W,Brazil W,31,24
30.07. 19:00,Sweden W,Denmark W,23,25
30.07. 17:00,France W,Brazil W,26,20
30.07. 14:00,Hungary W,Angola W,31,31
30.07. 12:00,Netherlands W,Spain W,29,24
30.07. 09:00,Norway W,South Korea W,26,20
30.07. 07:00,Germany W,Slovenia W,41,22
28.07. 19:00,France W,Netherlands W,32,28
28.07. 17:00,Angola W,Spain W,26,21
28.07. 14:00,Denmark W,Norway W,18,27
28.07. 12:00,Sweden W,Germany W,31,28
28.07. 09:00,South Korea W,Slovenia W,23,30
28.07. 07:00,Brazil W,Hungary W,24,25
25.07. 19:00,Norway W,Sweden W,28,32
25.07. 17:00,Hungary W,France W,28,31
25.07. 14:00,Germany W,South Korea W,22,23
25.07. 12:00,Spain W,Brazil W,18,29
25.07. 09:00,Netherlands W,Angola W,34,31
25.07. 07:00,Slovenia W,Denmark W,19,27
14.04. 17:15,Hungary W,Japan W,37,28
14.04. 16:00,Spain W,Netherlands W,26,27
14.04. 14:45,Great Britain W,Sweden W,8,52
14.04. 14:00,Montenegro W,Slovenia W,26,30
14.04. 13:30,Czech Republic W,Argentina W,41,33
14.04. 11:30,Paraguay W,Germany W,20,37
13.04. 14:45,Slovenia W,Paraguay W,32,14
13.04. 12:15,Germany W,Montenegro W,28,24
12.04. 19:00,Argentina W,Spain W,23,26
12.04. 18:30,Japan W,Great Britain W,43,16
12.04. 16:30,Netherlands W,Czech Republic W,32,18
12.04. 16:00,Sweden W,Hungary W,25,28
11.04. 19:00,Netherlands W,Argentina W,34,22
11.04. 18:15,Montenegro W,Paraguay W,30,25
11.04. 16:30,Czech Republic W,Spain W,21,31
11.04. 16:00,Sweden W,Japan W,35,28
11.04. 15:45,Germany W,Slovenia W,31,25
11.04. 13:30,Hungary W,Great Britain W,49,11
14.10. 17:00,Angola W,Cameroon W,27,21
14.10. 15:00,Senegal W,Congo W,26,21
12.10. 17:00,Congo W,Angola W,15,30
12.10. 15:00,Cameroon W,Senegal W,17,15
11.10. 17:00,Angola W,Senegal W,22,21
11.10. 15:00,Cameroon W,Congo W,21,21
23.08. 06:00,Japan W,South Korea W,24,25
23.08. 03:00,Kazakhstan W,India W,34,26
21.08. 08:00,Kazakhstan W,South Korea W,24,45
21.08. 05:00,China W,Japan W,18,35
20.08. 08:00,China W,India W,30,24
20.08. 05:00,Japan W,Kazakhstan W,50,28
18.08. 08:00,South Korea W,China W,33,20
18.08. 05:00,India W,Japan W,17,54
17.08. 08:00,South Korea W,India W,53,14
17.08. 05:00,China W,Kazakhstan W,33,26
