date,division,home,away
2025-12-06,6,Argentina,France
2025-12-06,6,Spain,Germany
2025-12-06,6,China,Kazakhstan
2025-12-06,6,Faroe Islands,Iceland
2025-12-06,6,Poland,Netherlands
2025-12-07,6,Senegal,Japan
2025-12-07,6,South Korea,Czech Republic
2025-12-07,6,Angola,Sweden
2025-12-07,6,Switzerland,Romania
2025-12-07,6,Hungary,Denmark
2025-12-07,6,Norway,Brazil
2025-12-08,6,Paraguay,Croatia
2025-12-08,6,Iran,Uruguay
2025-12-08,6,Tunisia,Argentina
2025-12-08,6,Kazakhstan,Egypt
2025-12-08,6,Poland,Austria
2025-12-08,6,China,Cuba
2025-12-08,6,France,Netherlands
