date,home,away,home_score,away_score
19.12. 16:30,France W,Norway W,22,29
19.12. 13:30,Denmark W,Spain W,35,28
17.12. 19:30,Norway W,Spain W,27,21
17.12. 16:30,France W,Denmark W,23,22
15.12. 19:30,France W,Sweden W,31,26
15.12. 16:30,Norway W,RHF W,34,28
15.12. 16:30,Angola W,Slovakia W,23,21
15.12. 14:00,Cameroon W,Tunisia W,29,35
15.12. 11:30,Uzbekistan W,Paraguay W,33,39
14.12. 19:30,Spain W,Germany W,26,21
14.12. 16:30,Denmark W,Brazil W,30,25
13.12. 19:30,Netherlands W,Norway W,34,37
13.12. 19:30,RHF W,France W,28,33
13.12. 17:00,Serbia W,Slovenia W,31,25
13.12. 17:00,Sweden W,Romania W,34,30
13.12. 16:30,Cameroon W,Iran W,32,17
13.12. 14:30,Poland W,Montenegro W,33,28
13.12. 14:30,Puerto Rico W,Kazakhstan W,30,27
13.12. 14:00,Uzbekistan W,Angola W,11,52
12.12. 19:30,Denmark W,Germany W,32,16
12.12. 19:30,Spain W,Brazil W,27,24
12.12. 17:00,Austria W,Croatia W,27,23
12.12. 17:00,South Korea W,Hungary W,28,35
12.12. 16:30,Tunisia W,Paraguay W,35,28
12.12. 14:30,Argentina W,Japan W,27,31
12.12. 14:30,Congo W,Czech Republic W,21,24
12.12. 14:00Awrd,China W,Slovakia W,0,10
11.12. 19:30,Slovenia W,Poland W,26,27
11.12. 19:30,Sweden W,Norway W,30,30
11.12. 17:00,Kazakhstan W,Netherlands W,15,61
11.12. 17:00,Serbia W,France W,19,22
11.12. 16:30,Cameroon W,Uzbekistan W,42,23
11.12. 14:30,Montenegro W,RHF W,25,31
11.12. 14:30,Romania W,Puerto Rico W,43,20
11.12. 14:00,Angola W,Iran W,41,8
10.12. 19:30,Croatia W,Spain W,23,27
10.12. 19:30,Czech Republic W,Denmark W,14,29
10.12. 17:00,Hungary W,Congo W,30,22
10.12. 17:00,Japan W,Austria W,32,30
10.12. 16:30Awrd,Tunisia W,China W,10,0
10.12. 14:30,Argentina W,Brazil W,19,24
10.12. 14:30,South Korea W,Germany W,28,37
10.12. 14:00,Slovakia W,Paraguay W,33,27
09.12. 19:30,France W,Poland W,26,16
09.12. 19:30,Kazakhstan W,Sweden W,20,55
09.12. 17:00,Montenegro W,Serbia W,25,27
09.12. 17:00,Norway W,Puerto Rico W,43,7
09.12. 16:30,Iran W,Uzbekistan W,32,37
09.12. 14:30,Netherlands W,Romania W,31,30
09.12. 14:30,RHF W,Slovenia W,26,26
09.12. 14:00,Angola W,Cameroon W,35,24
08.12. 19:30,Denmark W,Hungary W,30,19
08.12. 19:30,Spain W,Japan W,28,26
08.12. 17:00,Brazil W,Austria W,38,31
08.12. 17:00,Germany W,Congo W,29,18
08.12. 16:30,Paraguay W,China W,30,24
08.12. 14:30,Croatia W,Argentina W,28,22
08.12. 14:30,Czech Republic W,South Korea W,26,32
08.12. 14:00,Slovakia W,Tunisia W,31,27
07.12. 19:30,France W,Montenegro W,24,19
07.12. 19:30,Netherlands W,Sweden W,31,31
07.12. 19:30,Norway W,Romania W,33,22
07.12. 19:30,RHF W,Serbia W,32,22
07.12. 17:00,Angola W,Slovenia W,25,25
07.12. 17:00,Cameroon W,Poland W,19,33
07.12. 17:00,Kazakhstan W,Iran W,31,25
07.12. 17:00,Puerto Rico W,Uzbekistan W,30,24
06.12. 19:30,Croatia W,Japan W,26,28
06.12. 19:30,Denmark W,South Korea W,35,23
06.12. 19:30,Germany W,Hungary W,25,24
06.12. 19:30,Spain W,Austria W,31,19
06.12. 17:00,Argentina W,China W,36,24
06.12. 17:00,Brazil W,Paraguay W,33,19
06.12. 17:00,Czech Republic W,Slovakia W,24,23
06.12. 17:00,Tunisia W,Congo W,24,33
05.12. 19:30,Iran W,Norway W,9,41
05.12. 19:30,Montenegro W,Angola W,30,20
05.12. 19:30,Serbia W,Cameroon W,43,18
05.12. 17:00,Poland W,RHF W,23,26
05.12. 17:00,Romania W,Kazakhstan W,38,17
05.12. 17:00,Slovenia W,France W,18,29
05.12. 17:00,Uzbekistan W,Netherlands W,17,58
05.12. 14:30,Sweden W,Puerto Rico W,48,10
04.12. 19:30,China W,Spain W,18,33
04.12. 19:30,Congo W,Denmark W,18,33
04.12. 19:30,Hungary W,Czech Republic W,32,29
04.12. 19:30,Japan W,Brazil W,25,29
04.12. 17:00,Austria W,Argentina W,29,31
04.12. 17:00,Paraguay W,Croatia W,16,38
04.12. 17:00,Slovakia W,Germany W,22,36
04.12. 17:00,South Korea W,Tunisia W,31,29
03.12. 19:30,Montenegro W,Slovenia W,18,28
03.12. 19:30,Norway W,Kazakhstan W,46,18
03.12. 19:30,Serbia W,Poland W,25,21
03.12. 19:30,Sweden W,Uzbekistan W,46,15
03.12. 17:00,France W,Angola W,30,20
03.12. 17:00,Netherlands W,Puerto Rico W,55,15
03.12. 17:00,RHF W,Cameroon W,40,18
03.12. 17:00,Romania W,Iran W,39,11
02.12. 19:30,Denmark W,Tunisia W,35,16
02.12. 19:30,Hungary W,Slovakia W,35,29
02.12. 19:30,Japan W,Paraguay W,40,17
02.12. 17:00,Austria W,China W,38,27
02.12. 17:00,Croatia W,Brazil W,25,30
02.12. 17:00,Germany W,Czech Republic W,31,21
02.12. 17:00,South Korea W,Congo W,37,23
01.12. 19:30,Spain W,Argentina W,29,13
26.08. 00:00,Greenland W,Puerto Rico W,24,34
25.08. 22:00,Mexico W,USA W,28,14
25.08. 00:00,USA W,Mexico W,21,25
24.08. 22:00,Greenland W,Puerto Rico W,26,23
24.08. 00:00,USA W,Greenland W,18,28
23.08. 22:00,Mexico W,Puerto Rico W,24,29
23.08. 00:00,Greenland W,Mexico W,33,27
22.08. 22:00,Puerto Rico W,USA W,28,20
21.04. 19:45,Iceland W,Slovenia W,21,21
21.04. 16:10,Sweden W,Ukraine W,22,26
21.04. 16:00,Serbia W,Slovakia W,32,25
21.04. 15:00,North Macedonia W,Romania W,20,35
20.04. 18:15,Switzerland W,Czech Republic W,22,28
20.04. 16:30,Russia W,Turkey W,45,24
20.04. 16:00,Poland W,Austria W,26,29
20.04. 15:30,Germany W,Portugal W,34,23
20.04. 15:00,Belarus W,Montenegro W,24,26
18.04. 11:00,Italy W,Hungary W,12,41
17.04. 19:30,Portugal W,Germany W,27,32
17.04. 18:10,Czech Republic W,Switzerland W,27,27
17.04. 16:00,Slovakia W,Serbia W,19,26
17.04. 15:30,Slovenia W,Iceland W,24,14
17.04. 15:00,Romania W,North Macedonia W,33,22
17.04. 14:00,Ukraine W,Sweden W,14,28
16.04. 16:10,Austria W,Poland W,29,29
16.04. 16:00,Montenegro W,Belarus W,29,23
16.04. 14:30,Turkey W,Russia W,23,35
16.04. 14:05,Hungary W,Italy W,46,19
21.03. 18:00,Iceland W,Lithuania W,33,23
21.03. 17:00,Luxembourg W,Slovakia W,17,37
21.03. 16:00,Greece W,North Macedonia W,19,20
21.03. 15:30,Austria W,Italy W,37,22
21.03. 14:30,Ukraine W,Israel W,31,24
21.03. 13:00,Belarus W,Switzerland W,25,25
20.03. 18:00,Iceland W,Greece W,31,19
20.03. 17:00,Italy W,Kosovo W,24,22
20.03. 17:00,Ukraine W,Luxembourg W,28,21
20.03. 16:00,North Macedonia W,Lithuania W,31,21
20.03. 14:30,Slovakia W,Israel W,37,19
20.03. 13:00,Switzerland W,Faroe Islands W,26,18
19.03. 18:30,Israel W,Luxembourg W,22,18
19.03. 18:00,Lithuania W,Greece W,27,26
19.03. 17:10,Kosovo W,Austria W,20,26
19.03. 16:00,North Macedonia W,Iceland W,24,17
19.03. 16:00,Slovakia W,Ukraine W,31,28
19.03. 15:00,Faroe Islands W,Belarus W,13,21
