season,division,date,home,away,home_goals,away_goals
2026,1,2026-01-26,Germany,Denmark,26,31
2026,1,2026-01-26,Spain,France,36,32
2026,1,2026-01-26,Portugal,Norway,35,35
2026,1,2026-01-25,Switzerland,Croatia,24,28
2026,1,2026-01-25,Iceland,Sweden,35,27
2026,1,2026-01-25,Slovenia,Hungary,35,32
2026,1,2026-01-24,Germany,Norway,30,28
2026,1,2026-01-24,Spain,Denmark,31,36
2026,1,2026-01-24,France,Portugal,46,38
2026,1,2026-01-23,Slovenia,Sweden,31,35
2026,1,2026-01-23,Switzerland,Hungary,29,29
2026,1,2026-01-23,Iceland,Croatia,29,30
2026,1,2026-01-22,France,Denmark,29,32
2026,1,2026-01-22,Spain,Norway,34,35
2026,1,2026-01-22,Germany,Portugal,32,30
2026,1,2026-01-21,Sweden,Croatia,33,25
2026,1,2026-01-21,Netherlands,Georgia,31,26
2026,1,2026-01-20,Denmark,Portugal,29,31
2026,1,2026-01-20,Hungary,Iceland,23,24
2026,1,2026-01-20,Slovenia,Faroe Islands,30,27
2026,1,2026-01-20,Montenegro,Switzerland,26,43
2026,1,2026-01-20,North Macedonia,Romania,24,23
2026,1,2026-01-20,Poland,Italy,28,29
2026,1,2026-01-19,France,Norway,38,34
2026,1,2026-01-19,Georgia,Sweden,29,38
2026,1,2026-01-19,Germany,Spain,34,32
2026,1,2026-01-19,Austria,Serbia,26,25
2026,1,2026-01-19,Czech Republic,Ukraine,38,29
2026,1,2026-01-19,Netherlands,Croatia,29,35
2026,1,2026-01-18,Italy,Hungary,26,32
2026,1,2026-01-18,Romania,Denmark,24,39
2026,1,2026-01-18,Switzerland,Slovenia,35,38
2026,1,2026-01-18,Montenegro,Faroe Islands,24,37
2026,1,2026-01-18,North Macedonia,Portugal,29,29
2026,1,2026-01-18,Poland,Iceland,23,31
2026,1,2026-01-17,Czech Republic,Norway,25,29
2026,1,2026-01-17,Serbia,Germany,30,27
2026,1,2026-01-17,Sweden,Netherlands,36,31
2026,1,2026-01-17,Austria,Spain,25,30
2026,1,2026-01-17,Croatia,Georgia,32,29
2026,1,2026-01-17,Ukraine,France,26,46
2026,1,2026-01-16,Denmark,North Macedonia,36,24
2026,1,2026-01-16,Faroe Islands,Switzerland,28,28
2026,1,2026-01-16,Hungary,Poland,29,21
2026,1,2026-01-16,Iceland,Italy,39,26
2026,1,2026-01-16,Portugal,Romania,40,34
2026,1,2026-01-16,Slovenia,Montenegro,41,40
2026,1,2026-01-15,Germany,Austria,30,27
2026,1,2026-01-15,Norway,Ukraine,39,22
2026,1,2026-01-15,France,Czech Republic,42,28
2026,1,2026-01-15,Spain,Serbia,29,27
2026,2,2026-01-11,Spain,Portugal,31,34
2026,2,2026-01-11,Germany,Croatia,33,27
2026,2,2026-01-11,Faroe Islands,Italy,38,34
2026,2,2026-01-11,France,Iceland,31,29
2026,2,2026-01-11,Poland,Serbia,32,32
2026,2,2026-01-11,Slovakia,Egypt,30,39
2026,2,2026-01-11,Austria,Slovenia,31,36
2026,2,2026-01-11,Tunisia,Iran,26,24
2026,2,2026-01-10,Spain,Tunisia,37,28
2026,2,2026-01-10,Switzerland,North Macedonia,29,29
2026,2,2026-01-10,Egypt,Iran,43,24
2026,2,2026-01-10,Poland,Serbia,33,32
2026,2,2026-01-10,Netherlands,Norway,30,33
2026,2,2026-01-10,Bahrain,Ukraine,31,33
2026,2,2026-01-10,Denmark,Greece,38,24
2026,2,2026-01-09,France,Austria,34,29
2026,2,2026-01-09,Switzerland,Bahrain,33,30
2026,2,2026-01-09,Faroe Islands,Italy,34,36
2026,2,2026-01-09,Slovakia,Tunisia,35,30
2026,2,2026-01-09,Hungary,Romania,33,23
2026,2,2026-01-09,Iceland,Slovenia,32,26
2026,2,2026-01-09,Montenegro,Bosnia & Herzegovina,36,25
2026,2,2026-01-09,Ukraine,North Macedonia,26,31
2026,2,2026-01-09,Portugal,Iran,41,20
2026,2,2026-01-08,Netherlands,Greece,32,26
2026,2,2026-01-08,Croatia,Germany,29,32
2026,2,2026-01-08,North Macedonia,Bahrain,32,28
2026,2,2026-01-08,Spain,Slovakia,43,26
2026,2,2026-01-08,Norway,Denmark,26,34
2026,2,2026-01-08,Switzerland,Ukraine,38,27
2026,2,2026-01-08,Portugal,Egypt,31,31
2026,2,2026-01-07,Sweden,Brazil,33,24
