date,home,away,home_score,away_score
01.02. 17:00,Denmark,Germany,34,27
01.02. 14:15,Iceland,Croatia,33,34
30.01. 19:30,Denmark,Iceland,31,28
30.01. 16:45,Germany,Croatia,31,28
30.01. 14:00,Portugal,Sweden,36,35
28.01. 19:30,Denmark,Norway,38,24
28.01. 19:30,Switzerland,Sweden,21,34
28.01. 17:00,Croatia,Hungary,27,25
28.01. 17:00,Germany,France,38,34
28.01. 14:30,Slovenia,Iceland,31,39
28.01. 14:30,Spain,Portugal,27,35
27.01. 19:30,Sweden,Hungary,32,32
27.01. 17:00,Slovenia,Croatia,25,29
27.01. 14:30,Switzerland,Iceland,38,38
26.01. 19:30,Germany,Denmark,26,31
26.01. 17:00,Spain,France,36,32
26.01. 14:30,Portugal,Norway,35,35
25.01. 19:30,Switzerland,Croatia,24,28
25.01. 17:00,Iceland,Sweden,35,27
25.01. 14:30,Slovenia,Hungary,35,32
24.01. 19:30,Germany,Norway,30,28
24.01. 17:00,Spain,Denmark,31,36
24.01. 14:30,France,Portugal,46,38
23.01. 19:30,Slovenia,Sweden,31,35
23.01. 17:00,Switzerland,Hungary,29,29
23.01. 14:30,Iceland,Croatia,29,30
22.01. 19:30,France,Denmark,29,32
22.01. 17:00,Spain,Norway,34,35
22.01. 14:30,Germany,Portugal,32,30
21.01. 19:30,Sweden,Croatia,33,25
21.01. 17:00,Netherlands,Georgia,31,26
20.01. 19:30,Denmark,Portugal,29,31
20.01. 19:30,Hungary,Iceland,23,24
20.01. 19:30,Slovenia,Faroe Islands,30,27
20.01. 17:00,Montenegro,Switzerland,26,43
20.01. 17:00,North Macedonia,Romania,24,23
20.01. 17:00,Poland,Italy,28,29
19.01. 19:30,France,Norway,38,34
19.01. 19:30,Georgia,Sweden,29,38
19.01. 19:30,Germany,Spain,34,32
19.01. 17:00,Austria,Serbia,26,25
19.01. 17:00,Czech Republic,Ukraine,38,29
19.01. 17:00,Netherlands,Croatia,29,35
18.01. 19:30,Italy,Hungary,26,32
18.01. 19:30,Romania,Denmark,24,39
18.01. 19:30,Switzerland,Slovenia,35,38
18.01. 17:00,Montenegro,Faroe Islands,24,37
18.01. 17:00,North Macedonia,Portugal,29,29
18.01. 17:00,Poland,Iceland,23,31
17.01. 19:30,Czech Republic,Norway,25,29
17.01. 19:30,Serbia,Germany,30,27
17.01. 19:30,Sweden,Netherlands,36,31
17.01. 17:00,Austria,Spain,25,30
17.01. 17:00,Croatia,Georgia,32,29
17.01. 17:00,Ukraine,France,26,46
16.01. 19:30,Denmark,North Macedonia,36,24
16.01. 19:30,Faroe Islands,Switzerland,28,28
16.01. 19:30,Hungary,Poland,29,21
16.01. 17:00,Iceland,Italy,39,26
16.01. 17:00,Portugal,Romania,40,34
16.01. 17:00,Slovenia,Montenegro,41,40
15.01. 19:30,Germany,Austria,30,27
15.01. 19:30,Norway,Ukraine,39,22
15.01. 17:00,France,Czech Republic,42,28
15.01. 17:00,Spain,Serbia,29,27
11.05. 16:00,Austria,Switzerland,34,33
11.05. 16:00,Croatia,Luxembourg,30,20
11.05. 16:00,Czech Republic,Belgium,25,22
11.05. 16:00,Faroe Islands,Ukraine,35,27
11.05. 16:00,Germany,Turkey,44,26
11.05. 16:00,Greece,Bosnia & Herzegovina,30,23
11.05. 16:00,Hungary,Finland,37,24
11.05. 16:00,Iceland,Georgia,33,21
11.05. 16:00,Israel,Portugal,33,34
11.05. 16:00,Montenegro,Slovakia,33,28
11.05. 16:00,Netherlands,Kosovo,34,29
11.05. 16:00,North Macedonia,Lithuania,26,17
11.05. 16:00,Poland,Romania,30,29
11.05. 16:00,Serbia,Italy,28,24
11.05. 16:00,Slovenia,Estonia,36,30
11.05. 16:00,Spain,Latvia,41,25
08.05. 18:15,Kosovo,Faroe Islands,23,25
08.05. 17:30,Ukraine,Netherlands,27,35
08.05. 17:00,Italy,Spain,29,33
08.05. 16:40,Latvia,Serbia,26,27
08.05. 16:00,Estonia,North Macedonia,17,36
08.05. 16:00,Romania,Portugal,28,24
08.05. 15:30,Finland,Montenegro,28,33
08.05. 13:00,Georgia,Greece,29,26
08.05. 13:00,Israel,Poland,33,31
07.05. 18:10,Belgium,Croatia,22,34
07.05. 18:00,Bosnia & Herzegovina,Iceland,25,34
07.05. 17:00,Switzerland,Germany,32,32
07.05. 16:45,Luxembourg,Czech Republic,22,35
07.05. 16:00,Lithuania,Slovenia,28,31
07.05. 16:00,Slovakia,Hungary,24,39
07.05. 16:00,Turkey,Austria,29,34
16.03. 19:00,Bosnia & Herzegovina,Georgia,20,22
16.03. 19:00,Spain,Serbia,28,26
16.03. 17:30,Portugal,Poland,33,27
16.03. 17:30,Slovenia,North Macedonia,38,27
16.03. 17:00,Romania,Israel,29,26
16.03. 17:00,Ukraine,Kosovo,36,25
16.03. 16:30,Croatia,Czech Republic,36,20
16.03. 16:30,Hungary,Montenegro,29,29
16.03. 16:30,Italy,Latvia,41,30
16.03. 15:00,Slovakia,Finland,25,26
16.03. 15:00,Switzerland,Turkey,30,27
16.03. 14:00,Lithuania,Estonia,35,28
16.03. 14:00,Netherlands,Faroe Islands,31,32
16.03. 13:00,Belgium,Luxembourg,24,27
15.03. 16:00,Iceland,Greece,33,21
15.03. 15:30,Germany,Austria,31,26
