date,home,away,home_score,away_score
11.01. 18:00,Spain,Portugal,31,34
11.01. 17:05,Germany,Croatia,33,27
11.01. 17:00,Faroe Islands,Italy,38,34
11.01. 16:00,France,Iceland,31,29
11.01. 16:00,Poland,Serbia,32,32
11.01. 15:45,Slovakia,Egypt,30,39
11.01. 13:30,Austria,Slovenia,31,36
11.01. 13:30,Tunisia,Iran,26,24
10.01. 18:30,Spain,Tunisia,37,28
10.01. 17:30,France U21,Germany U21,25,29
10.01. 17:00,Switzerland,North Macedonia,29,29
10.01. 16:15,Egypt,Iran,43,24
10.01. 16:00,Poland,Serbia,33,32
10.01. 15:15,Netherlands,Norway,30,33
10.01. 15:00,Spain U21,Portugal U21,41,36
10.01. 14:30,Bahrain,Ukraine,31,33
10.01. 12:30,Denmark,Greece,38,24
09.01. 20:00,France,Austria,34,29
09.01. 19:30,Germany U21,Portugal U21,41,37
09.01. 19:15,Switzerland,Bahrain,33,30
09.01. 19:00,Faroe Islands,Italy,34,36
09.01. 18:30,Slovakia,Tunisia,35,30
09.01. 18:00,Hungary,Romania,33,23
09.01. 17:30,Iceland,Slovenia,32,26
09.01. 17:00,France U21,Spain U21,33,34
09.01. 17:00,Montenegro,Bosnia & Herzegovina,36,25
09.01. 16:45,Ukraine,North Macedonia,26,31
09.01. 16:15,Portugal,Iran,41,20
08.01. 19:45,Netherlands,Greece,32,26
08.01. 19:30,Croatia,Germany,29,32
08.01. 19:30,France U21,Portugal U21,30,26
08.01. 19:30,North Macedonia,Bahrain,32,28
08.01. 18:30,Spain,Slovakia,43,26
08.01. 17:00,Germany U21,Spain U21,30,29
08.01. 17:00,Norway,Denmark,26,34
08.01. 17:00,Switzerland,Ukraine,38,27
08.01. 16:15,Portugal,Egypt,31,31
07.01. 17:10,Sweden,Brazil,33,24
06.01. 17:00,Austria,Czech Republic,29,30
06.01. 17:00,Italy,Romania,35,34
06.01. 17:00,Slovenia,Kuwait,36,23
05.01. 17:10,Sweden,Brazil,34,27
