date,home,away,home_score,away_score
21.08. 17:00,Denmark,France,28,26
21.08. 13:30,Poland,Germany,25,31
19.08. 23:30AET,Poland,Denmark,28,29
19.08. 18:30,France,Germany,29,28
17.08. 23:30,Croatia,Poland,27,30
17.08. 20:00,Denmark,Slovenia,37,30
17.08. 16:30,Germany,Qatar,34,22
17.08. 13:00,Brazil,France,27,34
16.08. 00:50,Qatar,Argentina,22,18
15.08. 22:50,Croatia,Tunisia,41,26
15.08. 19:40,Sweden,Brazil,30,19
15.08. 17:40,France,Denmark,33,30
15.08. 14:30,Germany,Egypt,31,25
15.08. 12:30,Poland,Slovenia,20,25
14.08. 00:50,Argentina,Tunisia,23,21
13.08. 22:50,Sweden,Poland,24,25
13.08. 19:40,Egypt,Brazil,27,27
13.08. 17:40,Denmark,Qatar,26,25
13.08. 14:30,Croatia,France,29,28
13.08. 12:30,Slovenia,Germany,25,28
12.08. 00:50,France,Argentina,31,24
11.08. 22:50,Slovenia,Sweden,29,24
11.08. 19:40,Brazil,Germany,33,30
11.08. 17:40,Denmark,Croatia,24,27
11.08. 14:30,Poland,Egypt,33,25
11.08. 12:30,Tunisia,Qatar,25,25
10.08. 00:50,Argentina,Croatia,26,27
09.08. 22:50,Egypt,Sweden,26,25
09.08. 19:40,Brazil,Slovenia,28,31
09.08. 17:40,Tunisia,Denmark,23,31
09.08. 14:30,Germany,Poland,32,29
09.08. 12:30,Qatar,France,20,35
08.08. 00:50,Slovenia,Egypt,27,26
07.08. 22:50,France,Tunisia,25,23
07.08. 19:40,Poland,Brazil,32,34
07.08. 17:40,Denmark,Argentina,25,19
07.08. 14:30,Sweden,Germany,29,32
07.08. 12:30,Croatia,Qatar,23,30
10.04. 18:30,Bahrain,Denmark,24,26
10.04. 18:30,Tunisia,Poland,24,28
10.04. 16:45,Slovenia,Iran,33,17
10.04. 16:00,Croatia,Norway,27,21
10.04. 16:00,North Macedonia,Chile,30,27
10.04. 14:30,Sweden,Spain,23,25
09.04. 18:30,Denmark,Norway,25,25
09.04. 18:30,Poland,Chile,35,27
09.04. 16:30,Slovenia,Sweden,23,24
09.04. 16:00,Croatia,Bahrain,33,22
09.04. 16:00,North Macedonia,Tunisia,26,32
09.04. 14:15,Spain,Iran,37,23
08.04. 18:30,Denmark,Croatia,28,24
08.04. 18:30,Poland,North Macedonia,25,20
08.04. 17:15,Iran,Sweden,19,34
08.04. 16:00,Chile,Tunisia,29,35
08.04. 16:00,Norway,Bahrain,35,29
08.04. 15:00,Spain,Slovenia,21,24
27.11. 15:00,Iran,Qatar,19,28
27.11. 13:00,Bahrain,South Korea,34,21
26.11. 15:00,Saudi Arabia,Japan,27,38
26.11. 13:00,Iraq,China,38,27
26.11. 11:00,Australia,Oman,24,30
25.11. 15:00,Qatar,South Korea,30,26
25.11. 13:00,Bahrain,Iran,30,35
25.11. 11:00,Japan,China,40,24
25.11. 09:00Pen,Iraq,Saudi Arabia,31,33
25.11. 07:00,Australia,Uzbekistan,30,25
23.11. 16:00,Bahrain,South Korea,31,30
23.11. 14:00,Iraq,China,35,25
22.11. 16:00,Iran,Saudi Arabia,30,24
22.11. 14:00,Japan,Uzbekistan,42,15
22.11. 12:00,Qatar,Oman,31,20
21.11. 16:00,Bahrain,Australia,33,11
21.11. 14:00,South Korea,China,33,23
20.11. 16:00,Iran,Qatar,17,32
20.11. 14:00,Saudi Arabia,Uzbekistan,31,26
20.11. 12:00,Oman,Japan,27,35
19.11. 16:00,Australia,South Korea,16,35
19.11. 14:00,Bahrain,Iraq,35,16
18.11. 16:00,Oman,Uzbekistan,39,33
18.11. 14:00,Qatar,Saudi Arabia,29,23
18.11. 12:00,Iran,Japan,31,27
17.11. 16:00,Iraq,Australia,32,19
17.11. 14:00,China,Bahrain,24,43
16.11. 16:00,Japan,Qatar,19,36
16.11. 14:00,Uzbekistan,Iran,18,33
16.11. 12:00,Saudi Arabia,Oman,29,23
15.11. 16:00,China,Australia,29,24
15.11. 14:00,Iraq,South Korea,20,26
14.11. 16:00,Uzbekistan,Qatar,9,49
14.11. 14:00,Oman,Iran,31,39
14.11. 12:00,Japan,Saudi Arabia,27,19
