date,home,away,home_score,away_score
27.01. 16:30,Norway,Denmark,22,31
27.01. 13:30,Germany,France,25,26
26.01. 19:30,Croatia,Sweden,28,34
26.01. 16:30,Spain,Egypt,36,31
25.01. 19:30,Germany,Norway,25,31
25.01. 16:30,Denmark,France,38,30
23.01. 19:30,Denmark,Sweden,30,26
23.01. 19:30,Germany,Spain,31,30
23.01. 17:00,France,Croatia,20,23
23.01. 17:00,Norway,Hungary,35,26
23.01. 14:30,Brazil,Iceland,32,29
23.01. 14:30,Tunisia,Egypt,23,30
21.01. 19:30,Croatia,Germany,21,22
21.01. 19:30,Egypt,Denmark,20,26
21.01. 17:00,Spain,Brazil,36,24
21.01. 17:00,Sweden,Norway,27,30
20.01. 19:30,Iceland,France,22,31
20.01. 19:30,Norway,Egypt,32,28
20.01. 19:30,Serbia,Argentina,28,30
20.01. 17:00,Brazil,Croatia,29,26
20.01. 17:00,Hungary,Tunisia,26,21
20.01. 17:00,Bahrain,Austria,27,29
20.01. 14:30,Russia,Qatar,28,34
20.01. 14:30,Korea,Saudi Arabia,26,27
20.01. 12:00,North Macedonia,Chile,32,30
20.01. 12:00,Japan,Angola,29,32
19.01. 19:30,Denmark,Hungary,25,22
19.01. 19:30,Germany,Iceland,24,19
19.01. 19:30,Austria,Argentina,22,24
19.01. 17:00,France,Spain,33,30
19.01. 17:00,Tunisia,Sweden,23,35
19.01. 17:00,Serbia,Bahrain,32,27
19.01. 14:30,Chile,Qatar,27,37
19.01. 14:30,Saudi Arabia,Angola,34,29
19.01. 12:00,Russia,North Macedonia,30,28
19.01. 12:00,Korea,Japan,27,25
17.01. 19:30,France,Russia,23,22
17.01. 19:30,Spain,Croatia,19,23
17.01. 19:30,Sweden,Hungary,33,30
17.01. 19:15,Denmark,Norway,30,26
17.01. 17:00,Germany,Serbia,31,23
17.01. 17:00,North Macedonia,Iceland,22,24
17.01. 17:00,Qatar,Argentina,26,25
17.01. 16:30,Austria,Tunisia,27,32
17.01. 14:30,Bahrain,Japan,23,22
17.01. 14:30,Brazil,Korea,35,26
17.01. 14:30,Egypt,Angola,33,28
17.01. 14:00,Chile,Saudi Arabia,32,27
16.01. 19:30,North Macedonia,Spain,21,32
16.01. 19:30,Qatar,Sweden,22,23
16.01. 17:00,Croatia,Bahrain,32,20
16.01. 17:00,Hungary,Egypt,30,30
16.01. 14:30,Angola,Argentina,26,33
16.01. 14:30,Japan,Iceland,21,25
15.01. 19:45,Austria,Denmark,17,28
15.01. 19:30,Germany,France,25,25
15.01. 17:30,Norway,Chile,41,20
15.01. 17:00,Korea,Serbia,29,31
15.01. 15:15,Saudi Arabia,Tunisia,20,24
15.01. 14:30,Russia,Brazil,23,25
14.01. 19:30,France,Korea,34,23
14.01. 19:30,Spain,Japan,26,22
14.01. 19:30,Sweden,Angola,37,19
14.01. 19:15,Denmark,Saudi Arabia,34,22
14.01. 17:00,Argentina,Egypt,20,22
14.01. 17:00,Croatia,North Macedonia,31,22
