date,division,game_nr,home,away,home_timediff,away_timediff
2025-11-26,6,1,Germany,Iceland,4,50
2025-11-26,6,2,Spain,Paraguay,50,50
2025-11-26,6,3,Montenegro,Faroe Islands,50,50
2025-11-26,6,4,Serbia,Uruguay,50,50
2025-11-27,6,5,Angola,Kazakhstan,50,50
2025-11-27,6,6,Brazil,Cuba,50,50
2025-11-27,6,7,Romania,Croatia,4,4
2025-11-27,6,8,Switzerland,Iran,5,50
2025-11-27,6,9,Denmark,Japan,5,50
2025-11-27,6,10,Hungary,Senegal,50,5
2025-11-27,6,11,Norway,South Korea,50,50
2025-11-27,6,12,Sweden,Czech Republic,5,4
2025-11-28,6,13,Austria,Egypt,5,50
2025-11-28,6,14,Paraguay,Montenegro,2,2
2025-11-28,6,15,Germany,Uruguay,2,2
2025-11-28,6,16,Poland,China,5,50
2025-11-28,6,17,Netherlands,Argentina,50,50
2025-11-28,6,18,Serbia,Iceland,2,2
2025-11-28,6,19,Spain,Faroe Islands,2,2
2025-11-28,6,20,France,Tunisia,50,50
2025-11-29,6,21,Angola,South Korea,2,2
2025-11-29,6,22,Brazil,Czech Republic,2,2
2025-11-29,6,23,Romania,Japan,2,2
2025-11-29,6,24,Switzerland,Senegal,2,2
2025-11-29,6,25,Croatia,Denmark,2,2
2025-11-29,6,26,Cuba,Sweden,2,2
2025-11-29,6,27,Iran,Hungary,2,2
2025-11-29,6,28,Kazakhstan,Norway,2,2
2025-11-30,6,29,Faroe Islands,Paraguay,2,2
2025-11-30,6,30,Iceland,Uruguay,2,2
2025-11-30,6,31,Poland,Tunisia,2,2
2025-11-30,6,32,Austria,Argentina,2,2
2025-11-30,6,33,China,France,2,2
2025-11-30,6,34,Germany,Serbia,2,2
2025-11-30,6,35,Montenegro,Spain,2,2
2025-11-30,6,36,Egypt,Netherlands,2,2
2025-12-01,6,37,Czech Republic,Cuba,2,2
2025-12-01,6,38,Japan,Croatia,2,2
2025-12-01,6,39,Senegal,Iran,2,2
2025-12-01,6,40,South Korea,Kazakhstan,2,2
2025-12-01,6,41,Denmark,Romania,2,2
2025-12-01,6,42,Hungary,Switzerland,2,2
2025-12-01,6,43,Norway,Angola,2,2
2025-12-01,6,44,Sweden,Brazil,2,2
2025-12-02,6,45,Argentina,Egypt,2,2
2025-12-02,6,46,Tunisia,China,2,2
2025-12-02,6,47,Netherlands,Austria,2,2
2025-12-02,6,48,France,Poland,2,2
