season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2015,4,2015-03-19,Turkey,Austria,32,32,1,0,1,7,7,1,1,1,57,3
2015,4,2015-03-19,Czech Republic,Belarus,31,26,2,0,1,7,7,1,1,1,15,5
2015,4,2015-03-20,Portugal,Finland,33,24,3,0,1,7,7,1,1,1,45,21
2015,4,2015-03-20,Czech Republic,Austria,31,25,4,0,1,1,1,2,2,0,15,3
2015,4,2015-03-20,Netherlands,Slovakia,33,27,5,0,1,7,7,1,1,1,40,50
2015,4,2015-03-20,Serbia,Slovenia,30,22,6,0,1,7,7,1,1,1,49,51
2015,4,2015-03-20,Romania,Brazil,27,19,7,0,1,7,7,1,1,1,46,8
2015,4,2015-03-20,Turkey,Belarus,28,38,8,0,1,1,1,2,2,0,57,5
2015,4,2015-03-20,Sweden,Germany,33,32,9,0,1,7,7,1,1,1,54,23
2015,4,2015-03-20,Switzerland,Iceland,25,21,10,0,1,7,7,1,1,1,55,28
2015,4,2015-03-21,Portugal,Italy,23,20,11,0,1,1,7,2,1,0,45,32
2015,4,2015-03-21,Romania,Sweden,17,26,12,0,1,1,1,2,2,0,46,54
2015,4,2015-03-21,Switzerland,Iceland,24,28,13,0,1,1,1,2,2,0,55,28
2015,4,2015-03-21,Germany,Brazil,25,20,14,0,1,1,1,2,2,0,23,8
2015,4,2015-03-21,Czech Republic,Turkey,36,25,15,0,1,1,1,3,3,0,15,57
2015,4,2015-03-21,Netherlands,Slovakia,29,26,16,0,1,1,1,2,2,0,40,50
2015,4,2015-03-21,Austria,Belarus,30,28,17,0,1,1,1,3,3,0,3,5
2015,4,2015-03-21,Hungary,Spain,25,25,18,0,1,7,7,1,1,1,27,53
2015,4,2015-03-21,Serbia,Slovenia,28,30,19,0,1,1,1,2,2,0,49,51
2015,4,2015-03-22,Italy,Finland,23,17,20,0,1,1,2,2,2,0,32,21
2015,4,2015-05-30,Poland,Iceland,25,18,21,0,1,7,70,1,3,1,44,28
2015,4,2015-05-31,Germany,Netherlands,31,29,22,0,1,71,71,3,3,0,23,40
2015,4,2015-06-01,Montenegro,Russia,27,23,23,0,1,7,7,1,1,1,39,47
2015,4,2015-06-01,Slovakia,Japan,28,23,24,0,1,72,7,3,1,0,50,33
2015,4,2015-06-02,Sweden,Netherlands,30,20,25,0,1,73,2,3,4,0,54,40
2015,4,2015-06-02,Czech Republic,Slovakia,21,22,26,0,1,73,1,4,4,0,15,50
2015,4,2015-06-03,Japan,Ukraine,23,26,27,0,1,2,7,2,1,0,33,58
2015,4,2015-06-12,Brazil,Norway,21,25,28,0,1,83,7,3,1,0,8,42
2015,4,2015-06-14,Brazil,Norway,18,12,29,0,1,2,2,4,2,0,8,42
2015,4,2015-08-07,Hungary,Japan,34,18,30,0,1,100,65,2,3,0,27,33
2016,5,2015-10-20,Kazakhstan,China,18,28,31,1,0,7,7,1,1,1,34,11
2016,5,2015-10-21,China,Japan,19,29,32,1,0,1,75,2,4,0,11,33
2016,5,2015-10-21,South Korea,Kazakhstan,35,24,33,1,0,7,1,1,2,1,52,34
2016,5,2015-10-22,China,South Korea,22,34,34,1,0,1,1,3,2,0,11,52
2016,5,2015-10-24,Japan,Kazakhstan,24,23,35,1,0,3,3,5,3,0,33,34
2016,5,2015-10-25,South Korea,Japan,35,21,36,1,0,3,1,3,6,0,52,33
2015,4,2015-11-08,Serbia,South Korea,22,31,37,0,1,100,14,3,4,0,49,52
2015,4,2015-11-19,Tunisia,Italy,24,22,38,0,1,7,100,1,3,1,56,32
2015,4,2015-11-25,Germany,Poland,30,31,39,0,1,100,100,4,2,0,23,44
2015,4,2015-11-26,Croatia,Slovakia,29,19,40,0,1,7,100,1,5,1,13,50
2015,4,2015-11-26,France,Romania,29,27,41,0,1,7,100,1,3,1,22,46
2015,4,2015-11-27,Spain,Angola,37,27,42,0,1,100,7,2,1,0,53,1
2015,4,2015-11-27,Germany,Slovakia,31,31,43,0,1,2,1,5,6,0,23,50
2015,4,2015-11-27,Tunisia,Denmark,15,33,44,0,1,8,7,2,1,0,56,17
2015,4,2015-11-27,Hungary,Ukraine,37,19,45,0,1,100,100,3,2,0,27,58
2015,4,2015-11-28,Spain,Tunisia,32,19,46,0,1,1,1,3,3,0,53,56
2015,4,2015-11-28,Croatia,Germany,27,24,47,0,1,2,1,2,6,0,13,23
2015,4,2015-11-28,Austria,Switzerland,32,28,48,0,1,100,100,4,3,0,3,55
2015,4,2015-11-28,Angola,Denmark,17,28,49,0,1,1,1,2,2,0,1,17
2015,4,2015-11-28,Poland,Montenegro,28,26,50,0,1,3,100,3,2,0,44,39
2015,4,2015-11-28,France,Cuba,37,18,51,0,1,2,7,2,1,0,22,14
2015,4,2015-11-28,Romania,Czech Republic,31,26,52,0,1,2,100,4,5,0,46,15
2015,4,2015-11-29,France,Czech Republic,31,20,53,0,1,1,1,3,6,0,22,15
2015,4,2015-11-29,Brazil,Serbia,24,23,54,0,1,100,21,5,4,0,8,49
2015,4,2015-11-29,Romania,Cuba,36,23,55,0,1,1,1,5,2,0,46,14
2015,4,2015-11-29,Argentina,Slovenia,22,22,56,0,1,7,100,1,3,1,2,51
2015,4,2015-11-29,Spain,Denmark,25,25,57,0,1,1,1,4,3,0,53,17
2015,4,2015-11-29,Austria,Switzerland,29,27,58,0,1,1,1,5,4,0,3,55
2015,4,2015-11-29,Angola,Tunisia,27,22,59,0,1,1,1,3,4,0,1,56
2015,4,2015-12-02,Sweden,Romania,30,33,60,0,1,100,3,4,6,0,54,46
2016,4,2016-03-15,Sweden,Romania,32,29,61,0,1,100,100,5,7,1,54,46
2016,4,2016-03-15,Slovakia,Norway,28,29,62,0,1,100,100,7,3,1,50,42
2016,4,2016-03-16,Slovakia,Norway,27,33,63,0,1,1,1,8,4,0,50,42
2016,4,2016-03-17,Spain,Brazil,23,22,64,0,1,100,100,5,6,1,53,8
2016,4,2016-03-17,Norway,Germany,35,28,65,0,1,1,100,5,7,0,42,23
2016,5,2016-03-18,Netherlands,France,24,17,66,1,0,100,100,5,4,1,40,22
2016,5,2016-03-18,Romania,Denmark,32,25,67,1,0,3,100,8,4,0,46,17
2016,5,2016-03-18,Japan,Tunisia,37,20,68,1,0,100,100,7,5,0,33,56
2016,5,2016-03-18,Uruguay,Montenegro,19,34,69,1,0,7,100,1,3,1,59,39
2016,5,2016-03-18,Poland,Russia,25,27,70,1,0,100,100,4,2,1,44,47
2016,4,2016-03-19,Norway,Brazil,32,26,71,0,1,2,2,6,7,0,42,8
2016,4,2016-03-19,Germany,Spain,24,25,72,0,1,2,2,8,6,0,23,53
2016,5,2016-03-19,Denmark,Montenegro,22,26,73,1,0,1,1,5,4,0,17,39
2016,5,2016-03-19,France,Tunisia,33,15,74,1,0,1,1,5,6,0,22,56
2016,5,2016-03-19,Romania,Uruguay,36,19,75,1,0,1,1,9,2,0,46,59
2016,5,2016-03-19,Netherlands,Japan,33,25,76,1,0,1,1,6,8,0,40,33
2016,5,2016-03-19,Poland,Sweden,24,30,77,1,0,1,4,5,6,0,44,54
2016,4,2016-03-20,Norway,Spain,25,27,78,0,1,1,1,7,7,0,42,53
2016,4,2016-03-20,Brazil,Germany,18,24,79,0,1,1,1,8,9,0,8,23
2016,5,2016-03-20,Denmark,Uruguay,38,17,80,1,0,1,1,6,3,0,17,59
2016,5,2016-03-20,France,Japan,25,17,81,1,0,1,1,6,9,0,22,33
2016,5,2016-03-20,Tunisia,Netherlands,20,46,82,1,0,1,1,7,7,0,56,40
2016,5,2016-03-20,Romania,Montenegro,23,23,83,1,0,1,1,10,5,0,46,39
2016,5,2016-03-20,Russia,Sweden,37,29,84,1,0,2,1,3,7,0,47,54
2016,4,2016-05-28,Austria,Argentina,22,18,85,0,1,100,100,6,2,1,3,2
2016,4,2016-06-07,Slovakia,Brazil,26,25,86,0,1,83,79,9,9,0,50,8
2016,4,2016-06-07,Slovenia,South Korea,16,33,87,0,1,100,100,4,5,1,51,52
2016,4,2016-06-08,Slovakia,Brazil,21,23,88,0,1,1,1,10,10,0,50,8
2016,4,2016-06-09,Slovenia,South Korea,23,40,89,0,1,2,2,5,6,0,51,52
2016,4,2016-06-25,South Korea,Japan,37,17,90,0,1,16,97,7,10,0,52,33
2016,4,2016-07-19,Netherlands,Sweden,25,26,91,0,1,100,100,8,8,0,40,54
2016,4,2016-07-19,Montenegro,Russia,27,26,92,0,1,100,100,6,4,0,39,47
2016,4,2016-07-20,Russia,Netherlands,23,25,93,0,1,1,1,5,9,0,47,40
2016,4,2016-07-20,Sweden,Montenegro,27,29,94,0,1,1,1,9,7,0,54,39
2016,4,2016-07-21,Netherlands,Montenegro,23,13,95,0,1,1,1,10,8,0,40,39
2016,4,2016-07-21,Norway,Romania,32,21,96,0,1,100,100,8,11,0,42,46
2016,4,2016-07-21,France,Spain,17,21,97,0,1,100,100,7,8,0,22,53
2016,4,2016-07-21,Sweden,Russia,28,31,98,0,1,1,1,10,6,0,54,47
2016,4,2016-07-23,Norway,Spain,26,28,99,0,1,2,2,9,9,0,42,53
2016,4,2016-07-23,Romania,France,18,24,100,0,1,2,2,12,8,0,46,22
2016,4,2016-07-24,Norway,France,25,24,101,0,1,1,1,10,9,0,42,22
2016,4,2016-07-24,Spain,Romania,21,21,102,0,1,1,1,10,13,0,53,46
2016,4,2016-07-28,Brazil,Netherlands,29,27,103,0,1,50,7,11,11,0,8,40
2016,4,2016-07-31,Brazil,Netherlands,23,23,104,0,1,3,3,12,12,0,8,40
2016,4,2016-08-02,Brazil,Argentina,24,14,105,0,1,2,66,13,3,0,8,2
2016,4,2016-08-03,Spain,Sweden,17,18,106,0,1,10,13,11,11,0,53,54
2016,5,2016-08-06,Romania,Angola,19,23,107,1,0,13,100,14,4,0,46,1
2016,5,2016-08-06,Montenegro,Spain,19,25,108,1,0,16,3,9,12,0,39,53
