season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2015,4,2015-03-19,Turkey,Austria,32,32,1,0,0
2015,4,2015-03-19,Czech Republic,Belarus,31,26,2,0,0
2015,4,2015-03-20,Czech Republic,Austria,31,25,3,0,0
2015,4,2015-03-20,Netherlands,Slovakia,33,27,4,0,0
2015,4,2015-03-20,Serbia,Slovenia,30,22,5,0,0
2015,4,2015-03-20,Romania,Brazil,27,19,6,0,0
2015,4,2015-03-20,Turkey,Belarus,28,38,7,0,0
2015,4,2015-03-20,Sweden,Germany,33,32,8,0,0
2015,4,2015-03-20,Switzerland,Iceland,25,21,9,0,0
2015,4,2015-03-21,Portugal,Italy,23,20,10,0,0
2015,4,2015-03-21,Romania,Sweden,17,26,11,0,0
2015,4,2015-03-21,Switzerland,Iceland,24,28,12,0,0
2015,4,2015-03-21,Germany,Brazil,25,20,13,0,0
2015,4,2015-03-21,Czech Republic,Turkey,36,25,14,0,0
2015,4,2015-03-21,Netherlands,Slovakia,29,26,15,0,0
2015,4,2015-03-21,Austria,Belarus,30,28,16,0,0
2015,4,2015-03-21,Hungary,Spain,25,25,17,0,0
2015,4,2015-03-21,Serbia,Slovenia,28,30,18,0,0
2015,4,2015-05-30,Poland,Iceland,25,18,19,0,0
2015,4,2015-05-31,Germany,Netherlands,31,29,20,0,0
2015,4,2015-06-01,Montenegro,Russia,27,23,21,0,0
2015,4,2015-06-01,Slovakia,Japan,28,23,22,0,0
2015,4,2015-06-02,Sweden,Netherlands,30,20,23,0,0
2015,4,2015-06-02,Czech Republic,Slovakia,21,22,24,0,0
2015,4,2015-06-03,Japan,Ukraine,23,26,25,0,0
2015,4,2015-06-12,Brazil,Norway,21,25,26,0,0
2015,4,2015-06-14,Brazil,Norway,18,12,27,0,0
2015,4,2015-08-07,Hungary,Japan,34,18,28,0,0
2016,5,2015-10-20,Kazakhstan,China,18,28,29,0,0
2016,5,2015-10-21,China,Japan,19,29,30,0,0
2016,5,2015-10-21,South Korea,Kazakhstan,35,24,31,0,0
2016,5,2015-10-22,China,South Korea,22,34,32,0,0
2016,5,2015-10-24,Japan,Kazakhstan,24,23,33,0,0
2016,5,2015-10-25,South Korea,Japan,35,21,34,0,0
2015,4,2015-11-08,Serbia,South Korea,22,31,35,0,0
2015,4,2015-11-19,Tunisia,Italy,24,22,36,0,0
2015,4,2015-11-25,Germany,Poland,30,31,37,0,0
2015,4,2015-11-26,Croatia,Slovakia,29,19,38,0,0
2015,4,2015-11-26,France,Romania,29,27,39,0,0
2015,4,2015-11-27,Spain,Angola,37,27,40,0,0
2015,4,2015-11-27,Germany,Slovakia,31,31,41,0,0
