team,team_nr
Angola,1
Argentina,2
Austria,3
Belarus,4
Brazil,5
China,6
Croatia,7
Cuba,8
Czech Republic,9
Denmark,10
Egypt,11
Faroe Islands,12
France,13
Germany,14
Greece,15
Hungary,16
Iceland,17
Iran,18
Israel,19
Italy,20
Japan,21
Kazakhstan,22
Kosovo,23
Lithuania,24
Montenegro,25
Netherlands,26
North Macedonia,27
Norway,28
Paraguay,29
Poland,30
Portugal,31
Romania,32
Russia,33
Senegal,34
Serbia,35
Slovakia,36
Slovenia,37
South Korea,38
Spain,39
Sweden,40
Switzerland,41
Tunisia,42
Turkey,43
Ukraine,44
Uruguay,45
