team,team_nr
Algeria,1
Argentina,2
Austria,3
Bahrain,4
Belarus,5
Belgium,6
Bosnia & Herzegovina,7
Brazil,8
Cape Verde,9
Chile,10
Croatia,11
Cuba,12
Czech Republic,13
Denmark,14
Egypt,15
Estonia,16
Faroe Islands,17
Finland,18
France,19
Georgia,20
Germany,21
Great Britain,22
Greece,23
Guinea,24
Hungary,25
Iceland,26
Iran,27
Iraq,28
Israel,29
Italy,30
Japan,31
Kosovo,32
Kuwait,33
Latvia,34
Lithuania,35
Luxembourg,36
Mexico,37
Montenegro,38
Netherlands,39
North Macedonia,40
Norway,41
Poland,42
Portugal,43
Qatar,44
Romania,45
Russia,46
Saudi Arabia,47
Serbia,48
Slovakia,49
Slovenia,50
Spain,51
Sweden,52
Switzerland,53
Tunisia,54
Turkey,55
USA,56
Ukraine,57
