date,division,game_nr,home,away,home_timediff,away_timediff
2026-01-25,1,1,Switzerland,Croatia,2,2
2026-01-25,1,2,Sweden,Iceland,2,2
2026-01-25,1,3,Slovenia,Hungary,2,2
2026-01-26,1,4,Norway,Portugal,2,2
2026-01-26,1,5,Spain,France,2,2
2026-01-26,1,6,Denmark,Germany,2,2
2026-01-27,1,7,Switzerland,Iceland,2,2
2026-01-27,1,8,Slovenia,Croatia,2,2
2026-01-27,1,9,Sweden,Hungary,2,2
2026-01-28,1,10,Slovenia,Iceland,1,1
2026-01-28,1,11,Spain,Portugal,2,2
2026-01-28,1,12,Croatia,Hungary,1,1
2026-01-28,1,13,Germany,France,2,2
2026-01-28,1,14,Denmark,Norway,2,2
2026-01-28,1,15,Sweden,Switzerland,1,1
