season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2015,2,2015-01-02,Tunisia,Belarus,34,30,1,1,1
2015,2,2015-01-02,Switzerland,Slovakia,31,29,2,1,1
2015,2,2015-01-03,Switzerland,Belarus,26,25,3,1,1
2015,2,2015-01-03,Slovakia,Tunisia,27,28,4,1,1
2015,2,2015-01-04,Iceland,Germany,24,31,5,1,1
2015,2,2015-01-04,Switzerland,Tunisia,24,26,6,1,1
2015,2,2015-01-04,Belarus,Slovakia,29,34,7,1,1
2015,2,2015-01-05,Iceland,Germany,25,24,8,1,1
2015,2,2015-01-05,Sweden,Denmark,23,24,9,1,1
2015,2,2015-01-06,Austria,Switzerland,32,23,10,1,1
2015,2,2015-01-08,Austria,Switzerland,38,28,11,1,1
2015,2,2015-01-08,Greece,Slovakia,17,29,12,1,1
2015,2,2015-01-09,Algeria,North Macedonia,20,32,13,1,1
2015,2,2015-01-09,Germany,Czech Republic,32,24,14,1,1
2015,2,2015-01-09,Sweden,Iceland,30,24,15,1,1
2015,2,2015-01-09,Spain,Hungary,27,25,16,1,1
2015,2,2015-01-09,Denmark,Slovenia,36,26,17,1,1
2015,2,2015-01-09,France,Argentina,33,19,18,1,1
2015,2,2015-01-09,Croatia,Serbia,35,28,19,1,1
2015,2,2015-01-09,Poland,Norway,25,30,20,1,1
2015,2,2015-01-09,Greece,Slovakia,21,24,21,1,1
2015,2,2015-01-10,Spain,Norway,38,20,22,1,1
2015,2,2015-01-10,Denmark,Iceland,29,30,23,1,1
2015,2,2015-01-10,Croatia,Serbia,34,30,24,1,1
2015,2,2015-01-10,France,North Macedonia,30,20,25,1,1
2015,2,2015-01-10,Hungary,Poland,25,35,26,1,1
2015,2,2015-01-10,Slovenia,Sweden,23,29,27,1,1
2015,2,2015-01-10,Germany,Czech Republic,27,22,28,1,1
2015,2,2015-01-10,Argentina,Algeria,21,20,29,1,1
2015,2,2015-01-11,Denmark,Sweden,28,19,30,1,1
2015,2,2015-01-11,Iceland,Slovenia,32,32,31,1,1
2015,2,2015-01-11,Spain,Poland,33,28,32,1,1
2015,2,2015-01-11,Norway,Hungary,28,26,33,1,1
2015,2,2015-01-12,France,Austria,30,28,34,1,1
2015,2,2015-01-16,Serbia,Hungary,30,26,35,1,1
2015,2,2015-01-17,Norway,Hungary,31,27,36,1,1
2015,2,2015-01-18,Norway,Serbia,25,28,37,1,1
2015,2,2015-02-09,Israel,Italy,28,28,38,1,1
2015,2,2015-02-10,Israel,Italy,35,22,39,1,1
2015,2,2015-04-24,Greece,Israel,26,31,40,1,1
2015,2,2015-04-26,Germany,Switzerland,30,18,41,1,1
2015,2,2015-05-01,Poland,Romania,27,24,42,1,1
2015,2,2015-05-01,Egypt,Brazil,23,28,43,1,1
2015,2,2015-05-02,Poland,Egypt,27,20,44,1,1
2015,2,2015-05-02,Romania,Brazil,28,30,45,1,1
2015,2,2015-05-03,Poland,Brazil,24,25,46,1,1
2015,2,2015-05-03,Egypt,Romania,21,28,47,1,1
2015,2,2015-06-03,Montenegro,Saudi Arabia,33,21,48,1,1
2015,2,2015-06-04,Montenegro,Saudi Arabia,24,18,49,1,1
2015,2,2015-06-06,Lithuania,Estonia,26,26,50,1,1
2015,2,2015-06-20,Poland,Denmark,23,26,51,1,1
2015,2,2015-10-16,Qatar,Bahrain,25,31,52,1,1
2015,2,2015-10-17,Saudi Arabia,Bahrain,33,31,53,1,1
2015,2,2015-10-20,Qatar,Saudi Arabia,24,31,54,1,1
2015,2,2015-11-02,Saudi Arabia,Bahrain,22,30,55,1,1
2015,2,2015-11-04,Saudi Arabia,Qatar,22,32,56,1,1
2015,2,2015-11-05,Sweden,Russia,30,21,57,1,1
2015,2,2015-11-05,Tunisia,Iran,32,23,58,1,1
2015,2,2015-11-05,Switzerland,Algeria,32,20,59,1,1
2015,2,2015-11-06,Belarus,Argentina,23,30,60,1,1
2015,2,2015-11-06,Serbia,Slovenia,21,23,61,1,1
2015,2,2015-11-06,Croatia,North Macedonia,29,21,62,1,1
2015,2,2015-11-06,Tunisia,Algeria,29,19,63,1,1
2015,2,2015-11-06,Germany,Brazil,29,20,64,1,1
2015,2,2015-11-06,Qatar,Bahrain,29,22,65,1,1
2015,2,2015-11-06,Switzerland,Iran,28,24,66,1,1
2015,2,2015-11-07,North Macedonia,Montenegro,30,30,67,1,1
2015,2,2015-11-07,Brazil,Slovenia,27,38,68,1,1
2015,2,2015-11-07,Poland,Russia,27,21,69,1,1
2015,2,2015-11-07,Tunisia,Switzerland,31,26,70,1,1
2015,2,2015-11-07,Germany,Serbia,37,26,71,1,1
2015,2,2015-11-07,Algeria,Iran,33,27,72,1,1
2015,2,2015-11-07,Spain,Sweden,32,27,73,1,1
2015,2,2015-11-07,Hungary,Belarus,32,20,74,1,1
2015,2,2015-11-08,Poland,Spain,20,23,75,1,1
2015,2,2015-11-08,Sweden,Russia,32,28,76,1,1
2015,2,2015-11-08,Croatia,Montenegro,28,23,77,1,1
2015,2,2015-11-08,Germany,Slovenia,31,28,78,1,1
2015,2,2015-11-08,Hungary,Argentina,28,15,79,1,1
2015,2,2015-11-08,Brazil,Serbia,32,29,80,1,1
2015,2,2015-12-26,Latvia,Belarus,26,28,81,1,1
2015,2,2015-12-26,Russia,Egypt,31,24,82,1,1
2015,2,2015-12-27,Latvia,Egypt,29,24,83,1,1
2015,2,2015-12-27,Russia,Belarus,34,24,84,1,1
2015,2,2015-12-28,Poland,Ukraine,29,19,85,1,1
2015,2,2015-12-28,Czech Republic,Iran,38,32,86,1,1
2015,2,2015-12-28,Montenegro,Algeria,24,19,87,1,1
2015,2,2015-12-28,Belarus,Egypt,25,28,88,1,1
2015,2,2015-12-28,Latvia,Russia,19,30,89,1,1
2015,2,2015-12-29,Poland,Czech Republic,37,33,90,1,1
2015,2,2015-12-29,Serbia,Romania,30,30,91,1,1
2015,2,2015-12-29,Montenegro,Algeria,22,24,92,1,1
2015,2,2015-12-29,Iran,Ukraine,25,21,93,1,1
2015,2,2015-12-30,Luxembourg,Lithuania,28,32,94,1,1
2016,2,2016-01-02,Switzerland,Portugal,33,31,95,1,1
2016,2,2016-01-02,Tunisia,Austria,34,29,96,1,1
2016,2,2016-01-03,Switzerland,Tunisia,29,37,97,1,1
2016,2,2016-01-03,Austria,Portugal,34,30,98,1,1
2016,2,2016-01-04,Sweden,Czech Republic,34,28,99,1,1
2016,2,2016-01-04,Slovenia,North Macedonia,28,28,100,1,1
2016,2,2016-01-05,Germany,Tunisia,37,30,101,1,1
2016,2,2016-01-05,Slovenia,North Macedonia,23,23,102,1,1
2016,2,2016-01-05,Sweden,Czech Republic,29,27,103,1,1
2016,2,2016-01-06,Iceland,Portugal,28,32,104,1,1
2016,2,2016-01-07,Iceland,Portugal,26,25,105,1,1
