season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2015,2,2015-01-02,Tunisia,Belarus,34,30,1,1,1,7,7,1,1,1,54,5
2015,2,2015-01-02,Switzerland,Slovakia,31,29,2,1,1,7,7,1,1,1,53,49
2015,2,2015-01-03,Switzerland,Belarus,26,25,3,1,1,1,1,2,2,0,53,5
2015,2,2015-01-03,Slovakia,Tunisia,27,28,4,1,1,1,1,2,2,0,49,54
2015,2,2015-01-04,Iceland,Germany,24,31,5,1,1,7,7,1,1,1,26,21
2015,2,2015-01-04,Switzerland,Tunisia,24,26,6,1,1,1,1,3,3,0,53,54
2015,2,2015-01-04,Belarus,Slovakia,29,34,7,1,1,1,1,3,3,0,5,49
2015,2,2015-01-05,Iceland,Germany,25,24,8,1,1,1,1,2,2,0,26,21
2015,2,2015-01-05,Sweden,Denmark,23,24,9,1,1,7,7,1,1,1,52,14
2015,2,2015-01-06,Austria,Switzerland,32,23,10,1,1,7,2,1,4,1,3,53
2015,2,2015-01-08,Austria,Switzerland,38,28,11,1,1,2,2,2,5,0,3,53
2015,2,2015-01-08,Greece,Slovakia,17,29,12,1,1,7,4,1,4,1,23,49
2015,2,2015-01-09,Algeria,North Macedonia,20,32,13,1,1,7,7,1,1,1,1,40
2015,2,2015-01-09,Germany,Czech Republic,32,24,14,1,1,4,7,3,1,0,21,13
2015,2,2015-01-09,Sweden,Iceland,30,24,15,1,1,4,4,2,3,0,52,26
2015,2,2015-01-09,Spain,Hungary,27,25,16,1,1,7,7,1,1,1,51,25
2015,2,2015-01-09,Denmark,Slovenia,36,26,17,1,1,4,7,2,1,0,14,50
2015,2,2015-01-09,France,Argentina,33,19,18,1,1,7,7,1,1,1,19,2
2015,2,2015-01-09,Croatia,Serbia,35,28,19,1,1,7,7,1,1,1,11,48
2015,2,2015-01-09,Poland,Norway,25,30,20,1,1,7,7,1,1,1,42,41
2015,2,2015-01-09,Greece,Slovakia,21,24,21,1,1,1,1,2,5,0,23,49
2015,2,2015-01-10,Spain,Norway,38,20,22,1,1,1,1,2,2,0,51,41
2015,2,2015-01-10,Denmark,Iceland,29,30,23,1,1,1,1,3,4,0,14,26
2015,2,2015-01-10,Croatia,Serbia,34,30,24,1,1,1,1,2,2,0,11,48
2015,2,2015-01-10,France,North Macedonia,30,20,25,1,1,1,1,2,2,0,19,40
2015,2,2015-01-10,Hungary,Poland,25,35,26,1,1,1,1,2,2,0,25,42
2015,2,2015-01-10,Slovenia,Sweden,23,29,27,1,1,1,1,2,3,0,50,52
2015,2,2015-01-10,Germany,Czech Republic,27,22,28,1,1,1,1,4,2,0,21,13
2015,2,2015-01-10,Argentina,Algeria,21,20,29,1,1,1,1,2,2,0,2,1
2015,2,2015-01-11,Denmark,Sweden,28,19,30,1,1,1,1,4,4,0,14,52
2015,2,2015-01-11,Iceland,Slovenia,32,32,31,1,1,1,1,5,3,0,26,50
2015,2,2015-01-11,Spain,Poland,33,28,32,1,1,1,1,3,3,0,51,42
2015,2,2015-01-11,Norway,Hungary,28,26,33,1,1,1,1,3,3,0,41,25
2015,2,2015-01-12,France,Austria,30,28,34,1,1,2,4,3,3,0,19,3
2015,2,2015-01-16,Serbia,Hungary,30,26,35,1,1,6,5,3,4,0,48,25
2015,2,2015-01-17,Norway,Hungary,31,27,36,1,1,6,1,4,5,0,41,25
2015,2,2015-01-18,Norway,Serbia,25,28,37,1,1,1,2,5,4,0,41,48
2015,2,2015-02-09,Israel,Italy,28,28,38,1,1,7,7,1,1,1,29,30
2015,2,2015-02-10,Israel,Italy,35,22,39,1,1,1,1,2,2,0,29,30
