iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2026-01-27,Switzerland,Iceland,24.44799,24.920028
1,2,1,2026-01-27,Slovenia,Croatia,30.648549,37.863957
1,3,1,2026-01-27,Sweden,Hungary,33.947246,27.107093
1,4,1,2026-01-28,Slovenia,Iceland,32.848102,38.802032
1,5,1,2026-01-28,Spain,Portugal,31.804457,33.739043
1,6,1,2026-01-28,Croatia,Hungary,23.464371,27.027462
1,7,1,2026-01-28,Germany,France,29.781299,35.901426
1,8,1,2026-01-28,Denmark,Norway,28.220471,31.545037
1,9,1,2026-01-28,Sweden,Switzerland,29.963866,24.600063
2,1,1,2026-01-27,Switzerland,Iceland,25.679677,30.575351
2,2,1,2026-01-27,Slovenia,Croatia,30.662417,35.641937
2,3,1,2026-01-27,Sweden,Hungary,30.679248,30.616079
2,4,1,2026-01-28,Slovenia,Iceland,31.182484,42.582802
2,5,1,2026-01-28,Spain,Portugal,30.121529,30.614438
2,6,1,2026-01-28,Croatia,Hungary,25.886856,19.973203
2,7,1,2026-01-28,Germany,France,28.032455,33.881958
2,8,1,2026-01-28,Denmark,Norway,20.783256,26.653242
2,9,1,2026-01-28,Sweden,Switzerland,34.471682,24.174924
3,1,1,2026-01-27,Switzerland,Iceland,27.367062,37.164093
3,2,1,2026-01-27,Slovenia,Croatia,33.155072,30.603506
3,3,1,2026-01-27,Sweden,Hungary,32.054058,24.265749
3,4,1,2026-01-28,Slovenia,Iceland,25.468384,28.748538
3,5,1,2026-01-28,Spain,Portugal,27.461662,29.998576
3,6,1,2026-01-28,Croatia,Hungary,34.546856,32.99428
3,7,1,2026-01-28,Germany,France,41.270977,24.795287
3,8,1,2026-01-28,Denmark,Norway,30.975092,25.973468
3,9,1,2026-01-28,Sweden,Switzerland,35.843104,25.686299000000002
4,1,1,2026-01-27,Switzerland,Iceland,23.786163,30.958716
4,2,1,2026-01-27,Slovenia,Croatia,23.113409,26.070684
4,3,1,2026-01-27,Sweden,Hungary,39.52196,35.419101
4,4,1,2026-01-28,Slovenia,Iceland,25.637482,30.149836
4,5,1,2026-01-28,Spain,Portugal,28.260006,31.078439
4,6,1,2026-01-28,Croatia,Hungary,27.578988,29.215825
4,7,1,2026-01-28,Germany,France,36.864929,41.280742
4,8,1,2026-01-28,Denmark,Norway,36.323201,26.617012
4,9,1,2026-01-28,Sweden,Switzerland,38.966005,27.88237
5,1,1,2026-01-27,Switzerland,Iceland,23.12243,23.055771
